"customerkey","order_count","aov","age_month","purchase_freq_month","ltv"
"180","2","830.68","61","0.03279","54"
"387","3","1099.0597599999999","59","0.05085","168"
"649","2","1381.68661","12","0.16667","461"
"864","3","2597.931","42","0.07143","557"
"957","3","1302.3286666666665","47","0.06383","249"
"1045","2","1607.717605","8","0.25000","804"
"1092","2","224.08004599999998","52","0.03846","17"
"1194","2","4659.0254","49","0.04082","380"
"1802","2","1811.061","8","0.25000","906"
"2267","2","319.633824","1","2.00000","1279"
"2523","3","1708.4868666666664","20","0.15000","769"
"2599","2","3183.3456775000004","13","0.15385","979"
"2752","2","697.572225","35","0.05714","80"
"2793","3","3236.1961666666666","41","0.07317","710"
"2863","2","36.72528","63","0.03175","2"
"2986","6","981.8748356666666","67","0.08955","528"
"3081","3","3503.148403333333","10","0.30000","3153"
"3574","2","1545.62814","1","2.00000","6183"
"3908","2","1690.658018","22","0.09091","307"
"3923","3","663.73","10","0.30000","597"
"4077","2","17.068545","49","0.04082","1"
"4193","2","2102.6275","71","0.02817","118"
"4527","2","293.415125","25","0.08000","47"
"4726","3","2445.14048","59","0.05085","373"
"4891","2","3596.7018900000003","24","0.08333","599"
"4925","2","2079.7855","82","0.02439","101"
"5293","2","1132.022175","3","0.66667","1509"
"5297","2","6893.858355","26","0.07692","1061"
"5397","2","5780.15886","10","0.20000","2312"
"5437","3","841.5876773333334","55","0.05455","138"
"5963","2","1299.475965","9","0.22222","578"
"6048","3","460.13259666666664","109","0.02752","38"
"6265","2","2120.226","5","0.40000","1696"
"6306","2","3637.7111","14","0.14286","1039"
"6645","2","305.354635","2","1.00000","611"
"6832","2","6455.620000000001","3","0.66667","8607"
"6949","2","5344.23545","47","0.04255","455"
"7086","2","3075.50157","36","0.05556","342"
"7147","2","1921.75356","45","0.04444","171"
"7181","2","1417.5225","11","0.18182","515"
"7440","2","2606.7304000000004","40","0.05000","261"
"7555","2","369.69599999999997","32","0.06250","46"
"7947","2","409.07268","52","0.03846","31"
"8105","2","1492.5715","44","0.04545","136"
"8213","2","433.8975","69","0.02899","25"
"8283","2","6730.2015","11","0.18182","2447"
"8842","2","8156.26468","47","0.04255","694"
"8910","3","1245.79403","53","0.05660","212"
"9006","2","6232.269599999999","3","0.66667","8310"
"9163","3","2316.368413333333","4","0.75000","5212"
"9683","2","7413.201480000001","51","0.03922","581"
"10053","2","2927.0459999999994","19","0.10526","616"
"10243","2","2949.222","43","0.04651","274"
"10578","3","1632.3621333333333","14","0.21429","1049"
"10832","3","4105.181173333333","52","0.05769","711"
"10952","2","936.49936","20","0.10000","187"
"10979","2","558.58725","52","0.03846","43"
"11116","2","240.12499999999997","72","0.02778","13"
"11244","2","6570.752200000001","79","0.02532","333"
"11414","2","1980.5979999999997","11","0.18182","720"
"11564","2","2151.731","64","0.03125","134"
"12043","2","926.565","63","0.03175","59"
"12144","3","5792.04494","43","0.06977","1212"
